datetime_O3_rf_107,O3_ref_107,O3_fit_107,O3_T_107,O3_RH_107
2016-09-25 23:15:00,19.5495,19.3118826966667,16.0667,57.3667
2016-09-25 23:29:59,17.0346,16.7865443613333,15.85,58.4
2016-09-25 23:45:00,15.6298,15.7551351924667,15.75,59
2016-09-26 00:00:00,16.4437,16.6426446666666,15.55,59.6
2016-09-26 00:14:59,16.7218,16.9459338746667,15.4,60.2333
2016-09-26 00:30:00,16.8067,15.8857278916667,15.15,61
2016-09-26 00:45:00,15.5972,15.7706140943334,15.1,61.75
2016-09-26 00:59:59,17.0229,16.012745757,14.95,62.25
2016-09-26 01:15:00,15.439,14.3952508869,14.8333,62.8667
2016-09-26 01:30:00,13.6753,13.8354231243333,14.65,63.7
2016-09-26 01:44:59,13.949,14.3755133318333,14.6,64.2
2016-09-26 02:00:00,16.0229,14.9615324678,14.5,64.45
2016-09-26 02:15:00,15.1476,15.173445429,14.5,64.95
2016-09-26 02:29:59,13.7958,13.8750222124,14.3667,65.5333
2016-09-26 02:45:00,12.4485,13.0954493543334,14.15,66.5
2016-09-26 03:00:00,12.1912,11.9761336681667,13.95,67.05
2016-09-26 03:14:59,11.1085,12.0612388842667,13.85,67.75
2016-09-26 03:30:00,10.8254,10.1088846948333,13.7333,68.2
2016-09-26 03:45:00,9.53756,9.5227965093,13.6,69.1
2016-09-26 03:59:59,8.18758,9.43977807279998,13.5,69.8
2016-09-26 04:15:00,8.13336,8.79779933596666,13.4,70.45
2016-09-26 04:30:00,7.5015,8.26252744243333,13.3333,71.1333
2016-09-26 04:44:59,5.55497,6.86508594336668,13.25,71.85
2016-09-26 05:00:00,2.69474,4.63962123349999,13.2,72.45
2016-09-26 05:15:00,0.646807,3.45609236536667,13.1,72.85
2016-09-26 06:45:00,1.0252,3.00490288636667,13.15,73.75
2016-09-26 06:59:59,2.67928,4.78647810962,13.4,73.45
2016-09-26 07:15:00,5.32648,7.23445793680001,13.75,73.35
2016-09-26 07:30:00,8.81954,9.04946974096668,14.35,72.75
2016-09-26 07:44:59,9.16134,9.61306420426667,15.3,71.4667
2016-09-26 08:00:00,9.72015,11.1371948864,16.6,69.6
2016-09-26 08:15:00,10.2537,11.9358987935667,17.5,67.85
2016-09-26 08:29:59,10.3321,11.7093755774,18.35,66.55
2016-09-26 08:45:00,10.9633,13.1409337373334,19.4667,65.0333
2016-09-26 09:00:00,15.1129,17.7105442786667,20.2,63.75
2016-09-26 09:14:59,19.42,20.4331713953334,20.865,62.62
2016-09-26 09:30:00,23.0706,25.2251403366666,21.5421,61.4544
2016-09-26 09:45:00,24.5159,25.6263108033334,22.4164,59.8545
